e0,e1,e2,e3,e4,e5
0.0,0.0,0.0,0.0,0.0,0.0
1.015746167509549e-16,3.888090110261035e-17,3.4102101286367023e-17,6.934488416906247e-16,4.378366751522752e-17,5.266340139310147e-15
1.1308987908767916e-16,4.0685437766224794e-17,5.0740461818227606e-17,1.2897481649533997e-15,1.4173379699582228e-16,1.0521185471926367e-14
8.483698611759036e-17,1.1821087544347996e-17,8.929525503371677e-17,1.9961854847025997e-15,2.8852780705757207e-16,1.5851513866419197e-14
2.902000399448875e-17,-4.3015787635772454e-17,7.040020885104677e-17,2.7997043240503836e-15,4.772322873334713e-16,2.1253581987787493e-14
1.646131570949459e-16,-9.20160428890383e-17,7.269150792480211e-17,3.685584885843895e-15,6.447250787950915e-16,2.6770201880400395e-14
1.5372754928849041e-16,-1.2357902257123765e-16,1.6748285633450908e-16,4.794666710696335e-15,8.180187671312943e-16,3.240319884363197e-14
3.101266530474172e-16,-2.205108467217471e-16,2.416223297905224e-16,5.993706791142787e-15,1.0305331703400718e-15,3.8094234210523316e-14
4.083076580398167e-16,-2.9874785178203463e-16,2.7552896782931324e-16,7.381148375705836e-15,1.2331305052975675e-15,4.3984728376298687e-14
2.6079940142817156e-16,-3.9416507324034793e-16,2.2023621675458773e-16,8.943054521145282e-15,1.5092293353621733e-15,4.993990890429217e-14
1.1464234992965618e-16,-4.480645434706485e-16,1.8219433448244088e-16,1.0585517436890634e-14,1.783404491916882e-15,5.592479972158041e-14
-1.0363360248944679e-16,-4.07108313285737e-16,1.9121684866558558e-16,1.2450782962474762e-14,2.0757338321814304e-15,6.205987434562503e-14
-5.625133875983819e-16,-3.489925492077307e-16,2.1171956062853478e-16,1.449861161481678e-14,2.465773234464729e-15,6.831680095410282e-14
-1.0272033073701645e-15,-3.322493860310439e-16,1.7293405263216876e-16,1.670321510317301e-14,2.8152786216022145e-15,7.475913566615484e-14
-1.522055730027248e-15,-2.431588431252045e-16,1.5821458708067122e-16,1.9072989784087798e-14,3.1033995541938603e-15,8.140188533313919e-14
-2.124806045723784e-15,-1.3940110671658123e-16,1.0307135797756855e-16,2.1701928854567167e-14,3.428156994248593e-15,8.818289071874947e-14
-3.2578024799882654e-15,-6.370486013766289e-17,-7.838778525399012e-17,2.4646858963812996e-14,3.798150522318566e-15,9.51166156591212e-14
-4.11495385780884e-15,6.276893100714376e-17,-2.953211239493944e-16,2.7968812225881074e-14,4.1198396686636e-15,1.0225162497991311e-13
-5.024570914174402e-15,2.9040226664842454e-16,-5.500207560150698e-16,3.1675432599915963e-14,4.464535732234321e-15,1.0957637414316753e-13
-5.935583435456527e-15,5.79171577815202e-16,-6.716144996692843e-16,3.594230878935033e-14,4.953087052563198e-15,1.1707068914689703e-13
-6.495594030519402e-15,8.834921388735226e-16,-8.712604037961649e-16,4.069264042445414e-14,5.428690413347489e-15,1.247987561518768e-13
-6.940908151046148e-15,1.1860860250733333e-15,-1.1899556411116148e-15,4.594031998987316e-14,5.914458276575942e-15,1.3280852642234966e-13
-8.274126766318071e-15,1.4879374759290813e-15,-1.4107837111392103e-15,5.180204924975095e-14,6.346927034683747e-15,1.4111310416630525e-13
-9.603127669924967e-15,1.8715148985423245e-15,-1.654871298808543e-15,5.843089237864849e-14,6.767832999879828e-15,1.4971021233332118e-13
-1.0566239023221512e-14,2.2815466148599507e-15,-1.940734202074465e-15,6.599516274420585e-14,7.302660326328369e-15,1.5861518273052097e-13
-1.1634960971880772e-14,2.683724787814584e-15,-2.2431713195486338e-15,7.45326697256146e-14,7.919307804195103e-15,1.6784770571141992e-13
-1.236989949474539e-14,3.044950396332886e-15,-2.6809544864885284e-15,8.415063484481288e-14,8.480007583680051e-15,1.7740373520144847e-13
-1.3389603801991212e-14,3.4654990724275965e-15,-3.1744914434165536e-15,9.494188895558147e-14,9.132832729882577e-15,1.8733793269568717e-13
-1.482490404812873e-14,4.0070482304392904e-15,-3.7266179732020694e-15,1.0710533373415855e-13,9.891058596773275e-15,1.9767524524966343e-13
-1.6215013028790657e-14,4.630945099038195e-15,-4.3626172738035784e-15,1.2082324616829714e-13,1.0744618116807398e-14,2.0843321488667326e-13
-1.8440441303524174e-14,5.284826020974581e-15,-5.095020073146687e-15,1.3622147018064314e-13,1.1686275590618361e-14,2.195936712085308e-13
-2.0822107767752457e-14,6.0035958008613674e-15,-5.978674273789351e-15,1.5362167288524712e-13,1.266297699042638e-14,2.3119001543367375e-13
-2.393462514619827e-14,6.855046374999751e-15,-7.0147162966546835e-15,1.7328310193132637e-13,1.3729282452839246e-14,2.433523558317073e-13
-2.723090636460623e-14,7.802487103487126e-15,-8.199002231368195e-15,1.9544004563669752e-13,1.4868397269855178e-14,2.560435593478383e-13
-3.1758442245713276e-14,8.966549224485337e-15,-9.607541759833137e-15,2.2040279679503225e-13,1.6184685253108233e-14,2.6921104826957317e-13
-3.6920006457215874e-14,1.0311985780577626e-14,-1.1201511912593061e-14,2.4855665081345245e-13,1.771085028236736e-14,2.82938659216752e-13
-4.2945525165489696e-14,1.1935986388405755e-14,-1.2972364699549948e-14,2.802842787041506e-13,1.9382876553123122e-14,2.9724826951719753e-13
-5.0170312577645016e-14,1.3869670457968422e-14,-1.5068112548207017e-14,3.1611520853132296e-13,2.1247509055852215e-14,3.121653984354031e-13
-5.823653997909929e-14,1.61089327529052e-14,-1.756434921544398e-14,3.56560409860496e-13,2.3344484748859904e-14,3.2782200322467103e-13
-6.822686602208072e-14,1.8716977940524447e-14,-2.0491079753311596e-14,4.02080198212142e-13,2.563705940706678e-14,3.4415238579233e-13
-7.993212707449413e-14,2.1833041993863825e-14,-2.3800200840227806e-14,4.53475883151947e-13,2.8086015857056316e-14,3.6117084348757735e-13
-9.388404520007291e-14,2.5487963477600614e-14,-2.7550693382817598e-14,5.115052856077093e-13,3.083949735154902e-14,3.7886933265365406e-13
-1.105648400188278e-13,2.979195117331069e-14,-3.179104575220515e-14,5.768505962377496e-13,3.3874142047004394e-14,3.973722022789598e-13
-1.302257426201113e-13,3.477212605042246e-14,-3.6748787670652735e-14,6.505536742182115e-13,3.722691459509313e-14,4.167236791583247e-13
-1.526781364640045e-13,4.0493894807771465e-14,-4.255914619860439e-14,7.337602362969229e-13,4.0989350064866916e-14,4.3692226165493354e-13
-1.7918024417173184e-13,4.714598841498734e-14,-4.915964551549982e-14,8.275594519993278e-13,4.522531951668314e-14,4.58095272956015e-13
-2.0985008295982196e-13,5.494621108163804e-14,-5.673098909164037e-14,9.33291918521662e-13,4.97697593278956e-14,4.80222508629509e-13
-2.4559925011886673e-13,6.403293572589989e-14,-6.539798775150842e-14,1.0524857879361868e-12,5.4745583592994196e-14,5.033467787270291e-13
-2.8897067248048547e-13,7.467397273568478e-14,-7.525613267218209e-14,1.1869669900891983e-12,6.021462445409635e-14,5.275698746056551e-13
-3.391798018683646e-13,8.710980425066915e-14,-8.670048493587387e-14,1.3386053286351193e-12,6.613351137383906e-14,5.529080238714072e-13
-3.984651628602703e-13,1.0159396989991259e-13,-9.988335942315868e-14,1.5096149127929355e-12,7.25988504756571e-14,5.794790977535564e-13
-4.683593087753815e-13,1.185428764064403e-13,-1.150660410748328e-13,1.7025151690708428e-12,7.967400942733286e-14,6.0731674598876e-13
-5.51078914389189e-13,1.3841764863526385e-13,-1.3260544462426309e-13,1.9201128756077245e-12,8.735958392291305e-14,6.364344576534983e-13
-6.48706935359184e-13,1.6155075145115235e-13,-1.5267697298701984e-13,2.165574852878315e-12,9.569775434392889e-14,6.668670847730805e-13
-7.638985081721429e-13,1.8859360051624122e-13,-1.7589592335978337e-13,2.442337956147637e-12,1.0492541678503371e-13,6.987742611335634e-13
-8.994931782544758e-13,2.2014876867377142e-13,-2.0280010112914148e-13,2.7543116328602437e-12,1.1496689217257027e-13,7.321637773272331e-13
-1.0591406769989672e-12,2.570374407153276e-13,-2.337783586198621e-13,3.1059616067994436e-12,1.2600042238778494e-13,7.671976154917628e-13
-1.2466645749649608e-12,3.0003293043995916e-13,-2.6949526701620203e-13,3.502481491125435e-12,1.3810922957308383e-13,8.038684638733201e-13
-1.4672148111969762e-12,3.5015316919017625e-13,-3.10482920763657e-13,3.949757290304748e-12,1.5134001431825363e-13,8.421835872695457e-13
-1.727504746214501e-12,4.0869795309752613e-13,-3.576097998428053e-13,4.454195791032023e-12,1.658360162429349e-13,8.822322964243827e-13
-2.0339217654795406e-12,4.771025581055417e-13,-4.118650964848614e-13,5.023124986133017e-12,1.817149128668537e-13,9.241158792110165e-13
-2.3951555133748553e-12,5.569558597105274e-13,-4.741727910660545e-13,5.664745889332194e-12,1.990187165618118e-13,9.67941991120943e-13
-2.819651045693308e-12,6.501025273593317e-13,-5.459162996870841e-13,6.388222719278317e-12,2.1782288698634967e-13,1.0137007444326373e-12
-3.3183772958581676e-12,7.587304407030423e-13,-6.285571295449338e-13,7.204089291002735e-12,2.3843404733095624e-13,1.0615683761652256e-12
-3.904677191818114e-12,8.854551353821927e-13,-7.236076540344624e-13,8.124131136783638e-12,2.610135996472898e-13,1.1117454321042649e-12
-4.595046717641193e-12,1.0333619654932303e-12,-8.329254222984253e-13,9.16168409711874e-12,2.857969153967634e-13,1.1641598609352286e-12
