e0,e1,e2,e3,e4,e5
-1.5023299396914165e-15,-1.7811420242558443e-15,-1.6752847001451964e-13,-9.665907267366e-13,-8.650079741465846e-09,2.378586810738845e-06
-1.2890906671346593e-15,-3.3764772972082643e-15,-1.701149647798115e-13,-2.918074395062036e-12,-8.721642611066431e-09,7.140692005718133e-06
-1.3373531314205422e-15,-3.714980702797217e-15,-1.7639436314659343e-13,-4.9112168358302196e-12,-8.865360598448515e-09,1.1917601999118618e-05
-1.0305398759598692e-15,-4.672893436189535e-15,-1.857457203898826e-13,-6.97644686474223e-12,-9.082421086668056e-09,1.671922075871892e-05
-1.0642283023986693e-15,-6.0045350608032044e-15,-1.9892112561936448e-13,-9.141533054154886e-12,-9.374621748451783e-09,2.1555503482124003e-05
-6.621978459853392e-16,-7.14201711748172e-15,-2.1652590147657699e-13,-1.1439767264276726e-11,-9.74437886871633e-09,2.6436477234806258e-05
-6.612178974912913e-16,-9.107447371276341e-15,-2.3935747119959416e-13,-1.3904051226494766e-11,-1.0194751136554388e-08,3.1372261739955444e-05
-1.2531946606363684e-16,-1.0814849803029064e-14,-2.6708928719399065e-13,-1.6568917930713755e-11,-1.072946607954061e-08,3.6373090361347716e-05
5.390235952352094e-16,-1.2217185491651218e-14,-3.0021280386964147e-13,-1.9474687311459327e-11,-1.1352945207160992e-08,4.1449331318197164e-05
3.924057402207439e-17,-1.4902275715085298e-14,-3.3991995183647925e-13,-2.2661718066359216e-11,-1.2070347339917693e-08,4.6611509180506764e-05
2.0542260839616575e-16,-1.7103523487995854e-14,-3.8625827127306624e-13,-2.6177389573247382e-11,-1.288760849375601e-08,5.187032669240529e-05
1.4124575728532864e-16,-2.063403827973416e-14,-4.4050700390878513e-13,-3.0072403737555383e-11,-1.3811488479927833e-08,5.723668696140711e-05
-7.088558899716999e-16,-2.4913812516519552e-14,-5.025747566628268e-13,-3.440170126328267e-11,-1.4849632480040763e-08,6.272171606384778e-05
-1.4253347504328836e-15,-2.7810349686120668e-14,-5.735215831310445e-13,-3.922981327137299e-11,-1.601062892055575e-08,6.833678611117429e-05
-2.3764352181723206e-15,-3.169000305541762e-14,-6.56277934996787e-13,-4.462564861966532e-11,-1.730408069444962e-08,7.409353882939817e-05
-4.366303298358088e-15,-3.627565908500275e-14,-7.502419913002211e-13,-5.0667262009860646e-11,-1.8740690875877224e-08,8.000390969386372e-05
-6.531224413549735e-15,-4.179309888097857e-14,-8.602838425398446e-13,-5.744212323934774e-11,-2.0332343199175476e-08,8.608015267856444e-05
-8.6246718292361e-15,-4.8430728173257297e-14,-9.867256036049974e-13,-6.50481104310324e-11,-2.2092205224844055e-08,9.233486565757565e-05
-1.0261708199733201e-14,-5.683787370728383e-14,-1.1318435506848417e-12,-7.359383221397838e-11,-2.4034838062607793e-08,9.878101652916298e-05
-1.1921745708435412e-14,-6.585565421281599e-14,-1.3010592721548358e-12,-8.32051277141191e-11,-2.6176312652497573e-08,0.00010543197010041832
-1.3415233097841708e-14,-7.76155038185489e-14,-1.4949480212736772e-12,-9.402018537272457e-11,-2.853434525112272e-08,0.0001123015157944254
-1.4352092710286556e-14,-9.03587041752826e-14,-1.7188321521323915e-12,-1.0619662384029826e-10,-3.112844360020877e-08,0.00011940389623979421
-1.635349187090956e-14,-1.0411705621190364e-13,-1.977684421738082e-12,-1.1990977261277367e-10,-3.398006935209086e-08,0.00012675383680488587
-1.876657920087472e-14,-1.212330266586762e-13,-2.2738185481195875e-12,-1.353564052294029e-10,-3.711281258735099e-08,0.00013436657612193675
-2.099087170180637e-14,-1.4030677937581893e-13,-2.615100080772465e-12,-1.5276162647200616e-10,-4.0552591274973826e-08,0.00014225789768499355
-2.4104225530321e-14,-1.6175544938681845e-13,-3.0081220505559497e-12,-1.7237767407696687e-10,-4.432786312346339e-08,0.00015044416257380415
-2.593918816705734e-14,-1.8747179014346555e-13,-3.4617583043918373e-12,-1.9448715257994825e-10,-4.846986111403811e-08,0.00015894234337087272
-2.8556943417951024e-14,-2.1692759971791896e-13,-3.985686482221416e-12,-2.1941117483571253e-10,-5.301285158251201e-08,0.0001677700593555709
